Product ID,Category,Sub-Category,Product Name,ProductID_SK
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,1
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2
OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,3
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,4
OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,5
FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6
OFF-AR-10002833,Office Supplies,Art,Newell 322,7
TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,8
OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,9
OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,10
FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,11
TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,12
OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,13
OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,14
OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",15
OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,16
OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",17
OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,18
OFF-AR-10003056,Office Supplies,Art,Newell 341,19
TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,20
OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",21
OFF-AR-10000246,Office Supplies,Art,Newell 318,22
OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",23
