Order ID,Ship Date,Ship Mode,OrderID_SK
CA-2016-152156,2016-11-11,Second Class,1
CA-2016-138688,2016-06-16,Second Class,2
US-2015-108966,2015-10-18,Standard Class,3
CA-2014-115812,2014-06-14,Standard Class,4
CA-2017-114412,2017-04-20,Standard Class,5
CA-2016-161389,2016-12-10,Standard Class,6
US-2015-118983,2015-11-26,Standard Class,7
CA-2014-105893,2014-11-18,Standard Class,8
CA-2014-167164,2014-05-15,Second Class,9
CA-2014-143336,2014-09-01,Second Class,10
CA-2016-137330,2016-12-13,Standard Class,11
US-2017-156909,2017-07-18,Second Class,12
CA-2015-106320,2015-09-30,Standard Class,13
CA-2016-121755,2016-01-20,Second Class,14
US-2015-150630,2015-09-21,Standard Class,15
CA-2017-107727,2017-10-23,Second Class,16
CA-2016-117590,2016-12-10,First Class,17
CA-2015-117415,2015-12-31,Standard Class,18
CA-2017-120999,2017-09-15,Standard Class,19
CA-2016-101343,2016-07-22,Standard Class,20
CA-2017-139619,2017-09-23,Standard Class,21
CA-2016-118255,2016-03-13,First Class,22
CA-2014-146703,2014-10-25,Second Class,23
CA-2016-169194,2016-06-25,Standard Class,24
CA-2015-115742,2015-04-22,Standard Class,25
CA-2016-105816,2016-12-17,Standard Class,26
CA-2016-111682,2016-06-18,First Class,27
CA-2015-135545,2015-11-30,Standard Class,28
US-2015-164175,2015-05-05,Standard Class,29
CA-2014-106376,2014-12-10,Standard Class,30
CA-2016-119823,2016-06-06,First Class,31
CA-2016-106075,2016-09-23,Standard Class,32
CA-2017-114440,2017-09-17,Second Class,33
US-2015-134026,2015-05-02,Standard Class,34
US-2017-118038,2017-12-11,First Class,35
US-2014-147606,2014-12-01,Second Class,36
CA-2016-127208,2016-06-15,First Class,37
CA-2014-139451,2014-10-16,Standard Class,38
CA-2015-149734,2015-09-08,Standard Class,39
US-2017-119662,2017-11-16,First Class,40
CA-2017-140088,2017-05-30,Second Class,41
CA-2017-155558,2017-11-02,Standard Class,42
CA-2016-159695,2016-04-10,Second Class,43
CA-2016-109806,2016-09-22,Standard Class,44
CA-2015-149587,2015-02-05,Second Class,45
US-2017-109484,2017-11-12,Standard Class,46
CA-2017-161018,2017-11-11,Second Class,47
CA-2017-157833,2017-06-20,First Class,48
CA-2016-149223,2016-09-11,Standard Class,49
CA-2016-158568,2016-09-02,Standard Class,50
CA-2016-129903,2016-12-04,Second Class,51
US-2015-156867,2015-11-17,Standard Class,52
CA-2017-119004,2017-11-28,Standard Class,53
CA-2015-129476,2015-10-20,Standard Class,54
CA-2017-146780,2017-12-30,Standard Class,55
CA-2016-128867,2016-11-10,Standard Class,56
CA-2014-115259,2014-08-27,Second Class,57
CA-2015-110457,2015-03-06,Standard Class,58
US-2015-136476,2015-04-10,Standard Class,59
CA-2016-103730,2016-06-15,First Class,60
US-2014-152030,2014-12-28,Second Class,61
US-2014-134614,2014-09-25,Standard Class,62
US-2017-107272,2017-11-12,Standard Class,63
US-2016-125969,2016-11-10,Second Class,64
US-2017-164147,2017-02-05,First Class,65
CA-2016-145583,2016-10-19,Standard Class,66
CA-2016-110366,2016-09-07,Second Class,67
CA-2017-106180,2017-09-23,Standard Class,68
CA-2017-155376,2017-12-27,Standard Class,69
