OrderID_SK,ProductID_SK,CustomerID_SK,LocationID_SK,DateID_SK,Sales,Quantity,Discount,Profit,unit_price
1,1,1,1,1,261.96,2,0.0,41.9136,130.98
1,2,1,1,1,731.94,3,0.0,219.582,243.98000000000002
2,3,2,2,2,14.62,2,0.0,6.8714,7.31
3,4,3,3,3,957.5775,5,0.45,-383.031,191.5155
3,5,3,3,3,22.368,2,0.2,2.5164,11.184
4,6,4,4,4,48.86,7,0.0,14.1694,6.9799999999999995
4,7,4,4,4,7.28,4,0.0,1.9656,1.82
4,8,4,4,4,907.152,6,0.2,90.7152,151.192
4,9,4,4,4,18.504,3,0.2,5.7825,6.168
4,10,4,4,4,114.9,5,0.0,34.47,22.98
4,11,4,4,4,1706.184,9,0.2,85.3092,189.576
4,12,4,4,4,911.424,4,0.2,68.3568,227.856
5,13,5,5,5,15.552,3,0.2,5.4432,5.184
6,14,6,6,6,407.976,3,0.2,132.5922,135.992
7,15,7,7,7,68.81,5,0.8,-123.858,13.762
7,16,7,7,7,2.544,3,0.8,-3.816,0.848
8,17,8,8,8,665.88,6,0.0,13.3176,110.98
9,18,9,9,9,55.5,2,0.0,9.99,27.75
10,19,10,10,10,8.56,2,0.0,2.4824,4.28
10,20,10,10,10,213.48,3,0.2,16.011,71.16
10,21,10,10,10,22.72,4,0.2,7.384,5.68
11,22,11,11,11,19.46,7,0.0,5.0596,2.7800000000000002
11,23,11,11,11,60.34,7,0.0,15.6884,8.620000000000001
12,24,12,12,12,71.372,2,0.3,-1.0196,35.686
13,4,13,13,13,1044.63,3,0.0,240.2649,348.21000000000004
14,25,14,14,14,11.648,2,0.2,4.2224,5.824
14,26,14,14,14,90.57,3,0.0,11.7741,30.189999999999998
15,27,15,12,15,3083.43,7,0.5,-1665.0522,440.48999999999995
15,28,15,12,15,9.618,2,0.7,-7.0532,4.809
15,29,15,12,15,124.2,3,0.2,15.525,41.4
15,30,15,12,15,3.264,2,0.2,1.1016,1.632
15,31,15,12,15,86.304,6,0.2,9.7092,14.384
15,32,15,12,15,6.858,6,0.7,-5.715,1.143
15,33,15,12,15,15.76,2,0.2,3.546,7.88
16,34,16,15,16,29.472,3,0.2,9.9468,9.824
17,35,17,16,17,1097.544,7,0.2,123.4737,156.792
17,36,17,16,17,190.92,5,0.6,-147.963,38.184
18,37,18,17,18,113.328,9,0.2,35.415,12.592
18,38,18,17,18,532.3992,3,0.32,-46.9764,177.4664
18,39,18,17,18,212.058,3,0.3,-15.147,70.68599999999999
18,40,18,17,18,371.168,4,0.2,41.7564,92.792
19,41,19,18,19,147.168,4,0.2,16.5564,36.792
20,42,20,14,20,77.88,2,0.0,3.894,38.94
21,43,21,19,21,95.616,2,0.2,9.5616,47.808
22,44,22,20,22,45.98,2,0.0,19.7714,22.99
22,45,22,20,22,17.46,2,0.0,8.2062,8.73
23,46,23,21,23,211.96,4,0.0,8.4784,52.99
24,47,24,22,24,45.0,3,0.0,4.95,15.0
24,48,24,22,24,21.8,2,0.0,6.104,10.9
25,49,25,23,25,38.22,6,0.0,17.9634,6.37
25,50,25,23,25,75.18,6,0.0,35.3346,12.530000000000001
25,51,25,23,25,6.16,2,0.0,2.9568,3.08
25,52,25,23,25,89.99,1,0.0,17.0981,89.99
26,53,26,24,26,15.26,7,0.0,6.2566,2.18
26,54,26,24,26,1029.95,5,0.0,298.6855,205.99
27,55,27,25,27,208.56,6,0.0,52.14,34.76
27,56,27,25,27,32.4,5,0.0,15.552,6.4799999999999995
27,57,27,25,27,319.41,5,0.1,7.098,63.882000000000005
27,58,27,25,27,14.56,2,0.0,6.9888,7.28
27,47,27,25,27,30.0,2,0.0,3.3,15.0
27,59,27,25,27,48.48,4,0.2,16.362,12.12
27,60,27,25,27,1.68,1,0.0,0.84,1.68
28,61,28,26,28,13.98,2,0.0,6.1512,6.99
28,62,28,26,28,25.824,6,0.2,9.3612,4.304
28,63,28,26,28,146.73,3,0.0,68.9631,48.91
28,64,28,26,28,79.76,4,0.0,22.3328,19.94
29,65,29,27,29,213.115,5,0.3,-15.2225,42.623000000000005
30,66,30,28,30,1113.024,8,0.2,111.3024,139.128
30,67,30,28,30,167.968,4,0.2,62.988,41.992
31,68,31,29,31,75.88,2,0.0,35.6636,37.94
32,69,32,30,32,4.616,1,0.2,1.731,4.616
33,70,15,31,33,19.05,3,0.0,8.763,6.3500000000000005
34,71,33,32,34,831.936,8,0.2,-114.3912,103.992
34,72,33,32,34,97.04,2,0.2,1.213,48.52
34,73,33,32,34,72.784,1,0.2,-18.196,72.784
35,74,34,17,35,1.248,3,0.8,-1.9344,0.416
35,75,34,17,35,9.708,3,0.6,-5.8248,3.236
35,76,34,17,35,27.24,3,0.2,2.724,9.08
36,77,33,33,36,19.3,5,0.6,-14.475,3.8600000000000003
37,78,35,34,2,208.16,1,0.0,56.2032,208.16
37,79,35,34,2,16.74,3,0.0,8.0352,5.579999999999999
38,80,36,35,37,14.9,5,0.0,4.172,2.98
38,81,36,35,37,21.39,1,0.0,6.2031,21.39
39,82,37,36,38,200.984,7,0.2,62.8075,28.712
40,83,38,37,39,230.376,3,0.2,-48.9549,76.792
41,84,23,38,40,301.96,2,0.0,33.2156,150.98
42,85,39,39,41,19.99,1,0.0,6.7966,19.99
42,86,39,39,41,6.16,2,0.0,2.9568,3.08
43,87,40,15,42,158.368,7,0.2,13.8572,22.624
44,88,41,2,43,20.1,3,0.0,6.633,6.7
44,41,41,2,43,73.584,2,0.2,8.2782,36.792
44,89,41,2,43,6.48,1,0.0,3.1104,6.48
45,90,42,40,44,12.96,2,0.0,6.2208,6.48
45,91,42,40,44,53.34,3,0.0,16.5354,17.78
45,92,42,40,44,32.96,2,0.0,16.1504,16.48
46,93,43,41,45,5.682,1,0.7,-3.788,5.682
47,94,44,30,46,96.53,7,0.0,40.5426,13.790000000000001
48,95,45,35,47,51.312,3,0.2,17.9592,17.104
49,96,46,42,48,77.88,6,0.0,22.5852,12.979999999999999
50,97,47,27,49,64.624,7,0.2,22.6184,9.232
